,id,content,content_clean,sentiment,subjectivity,polarity,analysis
0,UgxOkhl9kay5L5gsEIR4AaABAg,The spec is just on point! So much better than the white launch car,The spec is just on point So much better than the white launch car,5,0.25,0.25,Positive
1,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cWxWJhndQX,@Surf alcatraz how dumb you compare a Bugatti with a cupra 😑, alcatraz how dumb you compare a Bugatti with a cupra 😑,1,0.5,-0.375,Negative
2,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cW8nfP9eZw,0:29 look at the hood PANEL GAP difference. Left side panel gap is big enough to lose YOUR DOG down it....,029 look at the hood PANEL GAP difference Left side panel gap is big enough to lose YOUR DOG down it,3,0.2222222222222222,-0.038888888888888896,Negative
3,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVhDW93Ycb,"@Surf alcatraz i saw a video with about this, and apparently they think any screen will look outdated let s say in 10 years, and they want the car to remain ""timeless"". not defending just saying...", alcatraz i saw a video with about this and apparently they think any screen will look outdated let s say in 10 years and they want the car to remain timeless not defending just saying,1,0.4916666666666667,-0.17500000000000004,Negative
4,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVYtys13G3,@Michał Basiński you do understand that Mate Rimac is  major shareholder of bugatti and like bugatti,ł Basiński you do understand that Mate Rimac is  major shareholder of bugatti and like bugatti,5,0.5,0.0625,Positive
5,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVSJS3drG2,"@Surf alcatraz exactly .... and this Bugatti is much slower than Rimac Nevera .... not to mention it's 3 times more expensive, which together seems to be art for art for rich snobs;)", alcatraz exactly  and this Bugatti is much slower than Rimac Nevera  not to mention its 3 times more expensive which together seems to be art for art for rich snobs,5,0.48,0.16499999999999998,Positive
6,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVI2FtNJZn,@ManneredCheetah You realize the instrument cluster is a screen right? 🤦‍♂️, You realize the instrument cluster is a screen right 🤦‍♂️,3,0.5357142857142857,0.2857142857142857,Positive
7,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cVHucwiOku,It’s just all blue? The launch was all white? What’s the difference.,It’s just all blue The launch was all white What’s the difference,1,0.05,0.0,Neutral
8,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cV5NTXK3ud,@Revealed but come on we all can agree that the newer seat leon cupra are ugly as fuck and need infotainment system 😛, but come on we all can agree that the newer seat leon cupra are ugly as fuck and need infotainment system 😛,3,0.8,-0.55,Negative
9,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cV4zlSsN4Q,@Revealed 🤣, 🤣,5,0.0,0.0,Neutral
10,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTxLENk7Bn,@Jose Pollman that car is so old. Jesus was doing donuts in it 😂, Pollman that car is so old Jesus was doing donuts in it 😂,1,0.2,0.1,Positive
11,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTxBnc1Dmw,@r .m you don’t buy an $8M car to be economical on fuel 🤦, m you don’t buy an 8M car to be economical on fuel 🤦,1,0.9,0.3,Positive
12,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTx3zTVde5,@Surf alcatraz your infotainment system will be the equivalent of a vhs player in 3 years time. They age the car., alcatraz your infotainment system will be the equivalent of a vhs player in 3 years time They age the car,5,0.0,0.0,Neutral
13,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTmGXH3OwZ,"@Surf alcatraz is it really helpful to have to scroll several menu pages on your infotainment system while driving just to make simple adjustments like changing the Ac temperature? Cars without physical buttons are the dumbest thing ever, one of the best examples of change for the sake of change", alcatraz is it really helpful to have to scroll several menu pages on your infotainment system while driving just to make simple adjustments like changing the Ac temperature Cars without physical buttons are the dumbest thing ever one of the best examples of change for the sake of change,1,0.2,0.24,Positive
14,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTkK39Y_PZ,@Vision2005 It’s already aged since it doesn’t even have an infotainment system dumbo., It’s already aged since it doesn’t even have an infotainment system dumbo,1,0.4,-0.1,Negative
15,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTZeDZ2Lu4,"@Kaviraj Nosib a million dollar car should make it better not worse. He's not hating the car, I am not either but all of you bugatti fan bois are blinded by your hatred of criticism. We're allowed to criticize. And imo in this day and age it should be possible to work in an infotainment system that works beautifully and still be timeless.", Nosib a million dollar car should make it better not worse Hes not hating the car I am not either but all of you bugatti fan bois are blinded by your hatred of criticism Were allowed to criticize And imo in this day and age it should be possible to work in an infotainment system that works beautifully and still be timeless,1,0.775,0.38749999999999996,Positive
16,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTQQ3HMzLU,"@Roma Busalaev if the Bugatti is in neutral, yes", Busalaev if the Bugatti is in neutral yes,3,0.0,0.0,Neutral
17,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cTPQjO1N21,"@Irshaad Shaikh no, but his cupra on stage 3 destroys bugatti 50-200 :D", Shaikh no but his cupra on stage 3 destroys bugatti 50200 D,1,0.0,0.0,Neutral
18,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cT0B4zEusS,@Surf alcatraz the infotainment is the 8 million dollar master piece, alcatraz the infotainment is the 8 million dollar master piece,5,0.0,0.0,Neutral
19,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cSUHQ5-KE4,@Surf alcatraz god damn you got slammed for that comment 😂, alcatraz god damn you got slammed for that comment 😂,1,0.0,0.0,Neutral
20,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cRVYuJlYLv,@Surf alcatraz Have what, alcatraz Have what,5,0.0,0.0,Neutral
21,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cREoFgCBtv,"@Surf alcatraz No, but the car would have USB ports so u could charge it, and if not then get a portable charger", alcatraz No but the car would have USB ports so u could charge it and if not then get a portable charger,3,0.0,0.0,Neutral
22,UgxOkhl9kay5L5gsEIR4AaABAg.9cFlIEOUUok9cQHtstCBWp,I dont agree with you. the spec on this one looks tacky if u ask me.,I dont agree with you the spec on this one looks tacky if u ask me,2,0.0,0.0,Neutral
